iter	RMSE
0	4414.572517
1	4153.458231
2	3923.226959
3	3719.303715
4	3530.935198
5	3365.451395
6	3218.870606
7	3087.554976
8	2968.687353
9	2864.240802
10	2773.171551
11	2690.578522
12	2616.18158
13	2549.960224
14	2492.149445
15	2439.156894
16	2393.049277
17	2351.183593
18	2314.186013
19	2277.99773
20	2247.775015
21	2218.633573
22	2192.592474
23	2170.166861
24	2150.089695
25	2130.629038
26	2113.465221
27	2098.378323
28	2083.995377
29	2063.168284
30	2050.902452
31	2036.693236
32	2026.325401
33	2010.557121
34	2000.689484
35	1986.977625
36	1978.196735
37	1971.052777
38	1959.405542
39	1952.872244
40	1946.236089
41	1939.723598
42	1933.039067
43	1924.757143
44	1915.8188
45	1909.376913
46	1901.619106
47	1897.680077
48	1894.072604
49	1889.562589
50	1884.707065
51	1878.597861
52	1875.518843
53	1871.331814
54	1868.079576
55	1864.504089
56	1860.000632
57	1855.089684
58	1851.544426
59	1845.669875
60	1843.116953
61	1840.15776
62	1837.304922
63	1833.687998
64	1831.980801
65	1829.405541
66	1825.494583
67	1823.345689
68	1819.784741
69	1816.257033
70	1813.282686
71	1811.009429
72	1807.690545
73	1804.679823
74	1802.682212
75	1801.045094
76	1799.640995
77	1796.033877
78	1792.58171
79	1791.133234
80	1789.298021
81	1787.416304
82	1785.214953
83	1783.144444
84	1780.04844
85	1778.649403
86	1776.917067
87	1774.790467
88	1773.104427
89	1770.307508
90	1768.736342
91	1766.65501
92	1764.558382
93	1761.956416
94	1760.603807
95	1759.283223
96	1757.90721
97	1756.723097
98	1756.096959
99	1754.668798
100	1753.787757
101	1751.119663
102	1750.145279
103	1748.436722
104	1747.26171
105	1745.625812
106	1744.120416
107	1742.154831
108	1740.885062
109	1740.147882
110	1739.1653
111	1737.627846
112	1735.964004
113	1734.142062
114	1732.87203
115	1731.57786
116	1730.827794
117	1728.846086
118	1727.219509
119	1725.863373
120	1724.791008
121	1723.95794
122	1722.963562
123	1721.398881
124	1720.453349
125	1718.920429
126	1718.173312
127	1717.283866
128	1715.784388
129	1714.625472
130	1713.429437
131	1712.905838
132	1711.482137
133	1710.371778
134	1708.960057
135	1708.050438
136	1706.859325
137	1705.365137
138	1704.283042
139	1703.231818
140	1702.101532
141	1701.310479
142	1700.265511
143	1698.470822
144	1697.248151
145	1696.675262
146	1695.449955
147	1694.49949
148	1693.542976
149	1693.098251
150	1691.964588
151	1691.202647
152	1690.374786
153	1689.558926
154	1688.759345
155	1688.040011
156	1687.641403
157	1687.026061
158	1685.801477
159	1684.986721
160	1684.571348
161	1683.22759
162	1682.286818
163	1681.315709
164	1679.991479
165	1679.252795
